state_abbr,city_norm,median_sqft,p25_sqft,p75_sqft,kaggle_n,median_ppsqft,sqft_range
NY,bethpage,1668.0,1327.5,2041.0,19,385.0,713.5
NY,big flats,1711.0,1503.5,2105.5,3,99.6,602.0
NY,big indian,1210.5,1017.75,1403.25,2,227.2191843244475,385.5
NY,binghamton,1909.5,1538.75,2487.0,330,75.48631476050831,948.25
NY,black creek,1248.0,1248.0,1248.0,1,38.86217948717949,0.0
NY,black river,1820.0,1500.0,2221.0,25,132.701062215478,721.0
NY,blasdell,1371.0,1248.5,2239.0,15,139.7357723577236,990.5
NY,blauvelt,2344.0,2055.0,2980.5,4,313.7027567154529,925.5
NY,bleecker,2919.5,2459.75,3379.25,2,191.014333159677,919.5
NY,bliss,1839.0,1602.25,2273.75,4,127.91383105219218,671.5
NY,bloomfield,1416.0,1299.75,1541.75,4,200.11153668679424,242.0
NY,blooming grove,2000.0,1728.0,2023.5,3,253.54176844162188,295.5
NY,bloomingburg,1384.0,1332.0,2317.0,12,184.82382861690877,985.0
NY,bloomingdale,1568.0,1230.5,1572.0,3,110.86226203807391,341.5
NY,bloomington,1444.0,1137.5,1571.0,3,166.2049861495845,433.5
NY,blossvale,1812.0,1332.0,2032.0,15,92.71978021978022,700.0
NY,blue point,1481.5,1269.75,2279.75,6,377.1500530963559,1010.0
NY,bluff point,2360.0,2360.0,2360.0,1,136.4406779661017,0.0
NY,bohemia,2153.0,1920.75,2651.75,14,275.4465886939571,731.0
NY,boiceville,2261.5,1761.5,2868.75,4,226.32068769119658,1107.25
NY,bolivar,1679.0,1576.0,1800.0,5,53.54377605717689,224.0
NY,bolton landing,2000.0,1683.5,2321.0,23,424.5,637.5
NY,bombay,1536.0,1536.0,1536.0,1,517.578125,0.0
NY,boonville,1850.5,1385.25,2545.25,24,66.7514367166608,1160.0
NY,boston,2562.0,1566.0,2768.0,9,107.18424101969873,1202.0
NY,bovina center,2012.0,1694.0,2653.0,7,373.50597609561754,959.0
NY,bowmansville,2004.0,1574.0,3776.5,3,129.74051896207584,2202.5
NY,bradford,1695.0,1248.0,1780.0,5,237.17948717948718,532.0
NY,brandon,253.0,253.0,253.0,1,157.70750988142294,0.0
NY,brant,1662.0,1662.0,1662.0,1,108.2430806257521,0.0
NY,brantingham,2133.0,1849.5,2832.0,4,249.15431744992085,982.5
NY,brasher falls,1632.5,1256.25,1955.75,4,96.946950498395,699.5
NY,breesport,2122.0,1709.0,2535.0,2,108.03652193577567,826.0
NY,brentwood,1926.5,1248.5,6606.75,14,227.0924556895207,5358.25
NY,brewerton,1630.0,1227.0,1905.0,16,168.08480491264984,678.0
NY,brewster,2617.5,1858.75,3227.25,48,228.95904703897736,1368.5
NY,briarcliff manor,2947.5,2139.5,4707.5,20,345.3086898467714,2568.0
NY,briarwood,950.0,750.0,1200.0,41,324.8,450.0
NY,bridgehampton,4929.5,2935.0,7475.0,46,1283.0208333333335,4540.0
NY,bridgeport,1665.0,1429.0,1732.25,10,143.82578646329839,303.25
NY,bridgewater,1340.0,1340.0,1340.0,1,63.35820895522388,0.0
NY,brightwaters,2663.0,2663.0,2663.0,1,450.61960195268495,0.0
NY,broad channel,1550.0,1457.0,1916.0,5,451.61225806451614,459.0
NY,broadalbin,1580.0,1150.0,2046.0,25,140.28169014084506,896.0
NY,broadalbin village,1565.0,1387.5,1742.5,2,165.6936553030303,355.0
NY,brockport,1617.5,1579.25,1812.5,6,128.6588552930495,233.25
NY,brocton,4531.0,4395.5,4666.5,2,23.645028577685746,271.0
NY,bronx,1375.5,850.0,2141.0,1276,340.0,1291.0
NY,bronxville,1250.0,858.0,2534.5,130,333.9510223490252,1676.5
NY,brookfield,1842.0,1617.0,2067.0,2,361.5630829873022,450.0
NY,brookhaven,2275.0,2163.0,3000.0,5,283.0,837.0
NY,brookhaven hamlet,1800.0,1800.0,1800.0,1,833.3333333333334,0.0
NY,brooklyn,1310.0,898.5,2268.0,3811,583.2,1369.5
NY,brooklyn heights,700.0,700.0,700.0,1,1028.5714285714287,0.0
NY,brooklyn ny 11220,3835.0,3835.0,3835.0,1,650.5867014341591,0.0
NY,brooktondale,1212.0,1038.0,1377.5,4,226.25038259552804,339.5
NY,brookville,6000.0,4975.0,7352.75,16,528.4002177588034,2377.75
NY,broome,1000.0,945.0,1400.0,3,489.0,455.0
NY,brownville,2814.0,1836.0,3250.0,13,354.40047253396335,1414.0
NY,brunswick,1650.0,1336.0,2456.0,25,166.5895061728395,1120.0
NY,brushton,1525.5,1111.0,2328.0,12,61.441951896392226,1217.0
NY,buchanan,1197.0,1008.0,1560.0,5,347.22222222222223,552.0
NY,buffalo,1746.0,1302.0,2316.0,843,91.01941747572816,1014.0
NY,bullville,2500.0,2500.0,2500.0,1,239.96,0.0
NY,burdett,2450.0,1835.5,3223.5,6,150.63873705553289,1388.0
NY,burke,1800.0,1429.0,1920.0,5,81.29629629629629,491.0
NY,burlingham,997.0,997.0,999.75,4,80.14042126379137,2.75
NY,burlington,1646.0,1428.0,1888.0,4,122.58819911008959,460.0
NY,burlington flats,3433.0,2379.5,4486.5,2,250.41886513005647,2107.0
NY,burt,1398.0,1179.0,2733.0,6,122.09286120591582,1554.0
NY,bushwick,4875.0,4875.0,4875.0,1,266.2564102564103,0.0
NY,butternuts,1864.0,1368.0,2464.0,9,134.95,1096.0
NY,byron,1884.0,1796.5,2130.0,3,76.00936220011702,333.5
NY,cadyville,1645.0,1105.25,2219.0,4,119.7844972301494,1113.75
NY,cairo,1629.0,1141.0,2619.0,46,165.73930753564156,1478.0
NY,caledonia,1802.0,1778.0,2880.0,5,73.07953772943576,1102.0
NY,callicoon,1825.5,1435.5,2469.75,8,199.51109780262027,1034.25
NY,callicoon center,1404.0,1404.0,1404.0,1,177.35042735042734,0.0
NY,calverton,1300.0,1250.0,1742.0,7,356.7857142857143,492.0
NY,cambria heights,1507.0,1330.0,2061.0,8,432.9690594059406,731.0
NY,cambridge,1948.0,1544.0,2950.0,21,148.94117647058823,1406.0
NY,cambridge village,3289.0,3289.0,3289.0,1,60.656734569778045,0.0
NY,camden,1862.5,1497.0,2237.25,16,90.83381895881897,740.25
NY,cameron,1906.0,1821.0,1991.0,2,146.4646985962015,170.0
NY,camillus,1690.0,1270.5,2108.0,47,131.13861386138615,837.5
NY,campbell,1779.0,1204.0,2292.5,8,95.65535464709993,1088.5
NY,campbell hall,2286.0,1746.0,3240.0,17,263.5402906208719,1494.0
NY,canaan,2050.0,1848.25,3508.5,8,160.963589060689,1660.25
NY,canajoharie,2136.0,1915.0,2936.0,17,55.71161048689139,1021.0
NY,canajoharie village,2272.0,1461.0,2296.0,5,43.97007042253521,835.0
NY,canandaigua,2028.5,1500.0,2564.0,54,228.16457318636247,1064.0
NY,canastota,1525.0,1204.0,2080.0,37,103.26666666666667,876.0
NY,candor,1747.0,1372.0,2184.0,13,100.51546391752578,812.0
NY,caneadea,1564.0,768.0,1848.0,5,60.763888888888886,1080.0
NY,canisteo,2453.0,1864.0,3150.0,6,53.67588456822561,1286.0
NY,canton,1808.0,1332.0,2340.0,21,86.65191740412979,1008.0
NY,cape vincent,2336.0,1167.0,3103.5,15,137.8357030015798,1936.5
NY,carle place,1569.5,1355.25,1923.25,6,459.4483917587593,568.0
NY,carlisle,1008.0,1008.0,1008.0,2,163.640376984127,0.0
NY,carmel,1800.5,1426.5,2250.5,64,256.69224672142957,824.0
NY,carmel hamlet,1300.0,1300.0,1300.0,1,326.9230769230769,0.0
NY,caroga,1182.5,1041.25,1323.75,2,247.03261281759575,282.5
NY,caroga lake,657.5,611.25,745.0,4,200.99621212121212,133.75
NY,carthage,1589.5,1237.0,2132.0,70,89.7062629399586,895.0
NY,cassadaga,2200.0,2200.0,2200.0,1,102.27272727272727,0.0
NY,cassville,1342.0,1268.0,1453.0,4,128.5625,185.0
NY,castile,1650.0,1425.0,1821.5,3,272.72727272727275,396.5
NY,castle creek,1844.0,1422.5,2032.0,3,94.5945945945946,609.5
NY,castleton on hudson,1584.0,1358.5,2523.0,15,147.7826086956522,1164.5
NY,castorland,1572.0,1512.0,2031.0,5,120.5809945839488,519.0
NY,cato,1974.0,1176.0,2748.0,9,106.32462686567165,1572.0
NY,caton town,1564.0,1373.0,1755.0,2,80.81608679698735,382.0
NY,catskill,2215.0,1566.5,3006.25,64,180.18939393939394,1439.75
NY,cattaraugus,1676.0,1299.0,1957.75,10,58.969439879563765,658.75
NY,cayuga,1856.0,1856.0,1856.0,1,62.446120689655174,0.0
NY,cayuta,1510.0,1148.0,1760.0,5,76.70454545454545,612.0
NY,cazenovia,1912.0,1753.0,2460.75,30,200.07062237812937,707.75
NY,cedarhurst,2300.0,1650.0,2898.0,7,461.79913739987677,1248.0
NY,center moriches,2925.0,2617.5,6000.0,16,372.25,3382.5
NY,centereach,2004.0,1318.5,2725.0,40,280.02222222222224,1406.5
NY,centerport,2700.0,2450.0,3200.0,9,321.07142857142856,750.0
NY,central islip,1764.0,1350.0,1950.0,13,255.80232558139534,600.0
NY,central square,1680.0,1403.0,1814.0,15,138.80208333333334,411.0
NY,central valley,2176.0,1760.0,3638.0,3,264.24632352941177,1878.0
NY,centre island,7500.0,7079.5,8130.0,3,732.6666666666666,1050.5
NY,chadwicks,3464.0,2493.0,4435.0,2,61.68253456640137,1942.0
NY,chaffee,2448.0,1974.0,3167.5,3,45.02186776434268,1193.5
NY,champlain,1465.0,1296.0,1872.0,9,122.79863481228669,576.0
NY,chappaqua,3699.0,1808.0,7443.0,13,437.9326257498846,5635.0
NY,charleston,2504.0,2504.0,2504.0,1,109.82428115015975,0.0
NY,charlotteville,1400.0,1400.0,1400.0,1,92.14285714285714,0.0
NY,charlton,2601.0,1979.25,4343.25,8,208.1687730384413,2364.0
NY,chase mills,1887.0,1887.0,1887.0,1,52.46422893481717,0.0
NY,chateaugay,1889.5,1400.5,2162.25,12,61.67995802728227,761.75
NY,chatham,2270.0,1410.0,3667.0,25,220.26431718061673,2257.0
NY,chatham village,2250.0,2250.0,2250.0,1,123.11111111111111,0.0
NY,chaumont,1970.0,1250.0,2555.0,6,156.6622899159664,1305.0
NY,chautauqua,1886.0,734.5,2513.25,6,335.9157509157509,1778.75
NY,chazy,1695.0,1502.5,1960.0,10,98.82723709720551,457.5
NY,cheektowaga,1288.0,1100.0,1684.0,193,129.57860615883305,584.0
NY,chemung,1566.0,1406.25,1823.75,4,77.45811287477954,417.5
NY,chenango bridge,1215.0,1215.0,1215.0,1,131.6872427983539,0.0
NY,chenango forks,2508.0,1812.25,3100.5,4,78.27067313438783,1288.25
NY,cherry creek,1916.0,1558.0,2193.0,3,91.2839248434238,635.0
NY,cherry valley,2156.0,1993.25,3179.0,6,107.53252134605725,1185.75
NY,chester,2140.0,1656.0,2502.0,29,214.55223880597015,846.0
NY,chestnut ridge,2163.0,1940.0,2455.5,3,436.68122270742356,515.5
NY,chittenango,1600.0,1147.0,2169.0,35,143.13725490196077,1022.0
NY,churchville,1440.0,1310.0,1630.0,3,109.83516483516483,320.0
NY,churubusco,1970.0,1805.0,2193.0,3,126.39593908629442,388.0
NY,cicero,1833.0,1520.0,2213.25,48,137.3451374207188,693.25
NY,cincinnatus,1652.5,1416.0,1921.5,12,147.9062966070097,505.5
