house_score,value_tier,price_value,predicted_price,pricing_gap_pct,investment_opportunity_score,undervalued_flag,beds,baths,lot_size_sqft,latitude,longitude,luxury_score,amenities_score
13.48,Mid-Range,259900,412969.0739881623,0.5889537283115132,8.7332929399528,1,3,1.0,3920.0,40.4351073,-79.8953955,0,2
8.58,Budget,89900,142727.43870900373,0.5876244572747913,8.713580407737734,1,5,2.0,5601.0,41.4482584,-81.6119001,0,1
18.4,Mid-Range,525000,832149.9888302685,0.58504759777194,8.675366661586365,1,3,3.0,436384080.0,44.1258675,-123.1308008,0,1
20.8,Premium,410000,648595.1249487329,0.581939329143251,8.62927234087716,1,2,2.0,7440004440.0,21.3441923,-157.910725,0,4
9.41,Budget,185500,293317.4193429611,0.5812259802855047,8.61869367636824,1,4,2.0,4005.0,42.9663782,-78.8810613,0,0
22.6,Premium,589900,927641.0988214788,0.5725395809823339,8.489878016230968,1,4,3.0,6050.0,28.1604452,-82.3474777,0,3
19.67,Premium,515000,809799.8934794657,0.5724269776300306,8.488208155722099,1,5,4.0,5500.0,38.8755843,-104.6804902,0,2
15.21,Mid-Range,245000,384576.4486446569,0.5696997903863548,8.44776511219498,1,3,2.5,6534.0,36.8638506,-76.164598,0,3
16.11,Mid-Range,355000,556964.7025227032,0.5689146549935302,8.436121883465338,1,4,3.5,8276.0,37.9967937,-84.4502664,0,2
18.51,Mid-Range,400000,625882.205350875,0.5647055133771876,8.373702077859289,1,2,2.0,625.0,33.5807229,-111.9687839,0,3
16.3,Mid-Range,364000,567549.1943704508,0.5592010834353044,8.292073689398693,1,4,2.5,8276.0,36.7752587,-76.0719224,0,2
26.02,Premium,422000,657930.6358224312,0.5590773360721119,8.29023856788015,1,3,2.5,3128.0,28.0637345,-82.5625159,2,1
18.21,Mid-Range,390000,607896.994626992,0.5587102426333129,8.284794726076369,1,3,2.5,2178.0,45.5259022,-122.5168698,0,3
16.31,Mid-Range,364999,568215.3323841583,0.5567586003911197,8.255852689795796,1,3,3.0,6534.0,36.8530742,-76.1562418,0,2
14.62,Mid-Range,140000,217799.1544347093,0.5557082459622091,8.240276373946624,1,4,3.0,7248.0,41.4525596,-81.6372061,1,1
10.89,Budget,180000,279061.554690607,0.5503419705033723,8.160696758552223,1,2,2.0,6534.0,36.8174157,-76.1177934,0,1
27.17,Premium,409900,634053.9729637695,0.5468503853714796,8.108918014795178,1,4,2.5,5991.0,38.108239,-84.520962,2,2
25.51,Premium,398000,613853.2131615835,0.5423447566873958,8.042101430268396,1,4,2.0,7487.0,36.8009934,-76.0898925,2,1
7.84,Budget,119900,184862.1007810972,0.5418023417939716,8.034057644791112,1,3,1.5,2178.0,39.2991188,-76.6798503,0,0
13.29,Budget,200000,308298.8963229354,0.5414944816146771,8.0294922073939,1,2,2.0,6534.0,39.1079062,-77.0714837,0,3
6.67,Budget,64999,100159.791557539,0.5409435769402453,8.021322522023379,1,3,1.0,6534.0,39.3113111,-76.5911329,0,0
15.9,Mid-Range,284500,438147.2385572696,0.5400605924684345,8.008228232472845,1,3,2.0,8999.0,37.9744697,-84.4691029,0,3
24.9,Premium,550000,844880.5131769428,0.5361463875944416,7.950182215111902,1,7,5.0,6460.0,38.2253795,-85.7599924,1,2
12.34,Budget,250000,383942.8402998538,0.5357713611994153,7.944620730892936,1,2,3.0,6534.0,36.7964967,-76.1442369,0,1
24.92,Premium,199990,306027.1999121944,0.5302125101864813,7.862185300763164,1,3,2.0,5227.0,45.0183738,-93.3051894,1,1
10.07,Budget,222888,340984.8865123609,0.5298485630108435,7.856788116723077,1,6,2.0,7729.0,42.9745614,-78.833774,0,0
14.85,Mid-Range,375000,572931.3852158812,0.5278170272423498,7.826661292940584,1,3,2.0,4620.0,28.141296,-82.3190666,0,1
23.36,Premium,365000,555515.9813559729,0.5219615927560902,7.739827654235677,1,4,3.0,9583.0,44.9597222,-93.0266939,0,1
19.16,Mid-Range,165000,250572.14600953003,0.5186190667244244,7.690259394446159,1,2,2.0,6534.0,45.0915139,-93.3161686,0,1
11.36,Budget,149900,227503.1466412778,0.517699443904455,7.676621773552031,1,4,2.0,4356.0,42.8920805,-78.7365865,0,2
7.67,Budget,130000,197269.7180687064,0.51745936975928,7.673061574623423,1,2,1.0,7589894400.0,40.4483709,-79.803053,0,0
15.14,Mid-Range,399900,605083.6853503167,0.5130874852471035,7.608228360097541,1,6,5.5,5600.0,42.9101632,-78.8783387,0,1
17.19,Mid-Range,350000,528266.7980148478,0.5093337086138509,7.552561426291746,1,3,2.0,758989440.0,36.8128898,-76.1759423,0,3
13.34,Budget,200000,298524.39935362415,0.49262199676812074,7.304733745535022,1,3,2.0,443397240.0,40.4725899,-79.7851923,0,3
